Title,Authors,Journal,Year,DOI,Source
Human Emotion Classification based on EEG Signals Using Recurrent Neural Network And KNN,"Shashank Joshi, Falak Joshi",preprints,2022,,Arxiv
Characterizing TMS-EEG perturbation indexes using signal energy: initial study on Alzheimer's Disease classification,"Alexandra-Maria Tautan, Elias Casula, Ilaria Borghi, Michele Maiella, Sonia Bonni, Marilena Minei, Martina Assogna, Bogdan Ionescu, Giacomo Koch, Emiliano Santarnecchi",preprints,2022,,Arxiv
EEG-ITNet: An Explainable Inception Temporal Convolutional Network for Motor Imagery Classification,"Abbas Salami, Javier Andreu-Perez, Helge Gillmeister",preprints,2022,,Arxiv
SSGCNet: A Sparse Spectra Graph Convolutional Network for Epileptic EEG Signal Classification,"Jialin Wang, Rui Gao, Haotian Zheng, Hao Zhu, C. -J. Richard Shi",preprints,2022,,Arxiv
Efficacy of Transformer Networks for Classification of Raw EEG Data,"Gourav Siddhad, Anmol Gupta, Debi Prosad Dogra, Partha Pratim Roy",preprints,2022,,Arxiv
Spectro Temporal EEG Biomarkers For Binary Emotion Classification,"Upasana Tiwari, Rupayan Chakraborty, Sunil Kumar Kopparapu",preprints,2022,,Arxiv
Image-based eeg classification of brain responses to song recordings,"Adolfo G. Ramirez-Aristizabal, Mohammad K. Ebrahimpour, Christopher T. Kello",preprints,2022,,Arxiv
An Olfactory EEG Signal Classification Network Based on Frequency Band Feature Extraction,"Biao Sun, Zhigang Wei, Pei Liang, Huirang Hou",preprints,2022,,Arxiv
Automated Feature Extraction on AsMap for Emotion Classification using EEG,"Zaved Iqubal Ahmed, Nidul Sinha, Souvik Phadikar, Ebrahim Ghaderpour",preprints,2022,,Arxiv
Enhanced motor imagery-based EEG classification using a discriminative graph Fourier subspace,"Maliheh Miri, Vahid Abootalebi, Hamid Behjat",preprints,2022,,Arxiv
Multiple Time Series Fusion Based on LSTM An Application to CAP A Phase Classification Using EEG,"Fábio Mendonça, Sheikh Shanawaz Mostafa, Diogo Freitas, Fernando Morgado-Dias, Antonio G. Ravelo-García",preprints,2021,,Arxiv
Multispectral Riemannian Classification for EEG-based Brain--Machine Interfaces,"Xiaying Wang, Lukas Cavigelli, Tibor Schneider, Luca Benini",preprints,2021,,Arxiv
Reading Task Classification Using EEG and Eye-Tracking Data,"Nora Hollenstein, Marius Tröndle, Martyna Plomecka, Samuel Kiegeland, Yilmazcan Özyurt, Lena A. Jäger, Nicolas Langer",preprints,2021,,Arxiv
Improving Intention Detection in Single-Trial Classification through Fusion of EEG and Eye-tracker Data,"Xianliang Ge, Yunxian Pan, Sujie Wang, Linze Qian, Jingjia Yuan, Jie Xu, Nitish Thakor, Yu Sun",preprints,2021,,Arxiv
Neural Network Based Epileptic EEG Detection and Classification,"Shivam Gupta, Jyoti Meena, O. P Gupta",preprints,2021,,Arxiv
Riemannian classification of EEG signals with missing values,"Alexandre Hippert-Ferrer, Ammar Mian, Florent Bouchard, Frédéric Pascal",preprints,2021,,Arxiv
Seizure Classification of EEG based on Wavelet Signal Denoising Using a Novel Channel Selection Algorithm,"Niamh McCallan, Scot Davidson, Kok Yew Ng, Pardis Biglarbeigi, Dewar Finlay, Boon Leong Lan, James McLaughlin",preprints,2021,,Arxiv
EEG-based Classification of Drivers Attention using Convolutional Neural Networks ,"Fred Atilla, Maryam Alimardani",preprints,2021,,Arxiv
A SPA-based Manifold Learning Framework for Motor Imagery EEG Data Classification,"Xiangyun Li, Peng Chen, Zhanpeng Bao",preprints,2021,,Arxiv
Classification of Upper Arm Movements from EEG signals using Machine Learning with ICA Analysis,"Pranali Kokate, Sidharth Pancholi, Amit M. Joshi",preprints,2021,,Arxiv
EEG-ConvTransformer for Single-Trial EEG based Visual Stimuli Classification,"Subhranil Bagchi, Deepti R. Bathula",preprints,2021,,Arxiv
Performance of OpenBCI EEG Binary Intent Classification with Laryngeal Imagery,"Samuel Kuhn, Nathan George",preprints,2021,,Arxiv
Learning Signal Representations for EEG Cross-Subject Channel Selection and Trial Classification,"Michela C. Massi, Francesca Ieva",preprints,2021,,Arxiv
EEG-GNN: Graph Neural Networks for Classification of Electroencephalogram (EEG) Signals,"Andac Demir, Toshiaki Koike-Akino, Ye Wang, Masaki Haruna, Deniz Erdogmus",preprints,2021,,Arxiv
BRAIN2DEPTH: Lightweight CNN Model for Classification of Cognitive States from EEG Recordings,"Pankaj Pandey, Krishna Prasad Miyapuram",preprints,2021,,Arxiv
Predicting speech intelligibility from EEG in a non-linear classification paradigm,"Bernd Accou, Mohammad Jalilpour Monesi, Hugo Van hamme, Tom Francart",preprints,2021,,Arxiv
Classification of Motor Imagery EEG Signals by Using a Divergence Based Convolutional Neural Network,"Zumray Dokur, Tamer Olmez",preprints,2021,,Arxiv
EEG-based Texture Roughness Classification in Active Tactile Exploration with Invariant Representation Learning Networks,"Ozan Ozdenizci, Safaa Eldeeb, Andac Demir, Deniz Erdogmus, Murat Akcakaya",preprints,2021,,Arxiv
