Title,Authors,Journal,Year,DOI,Source
"Breast cancer detection using an ensemble deep learning method,","Abhishek Das, Mihir Narayan Mohanty, Pradeep Kumar Mallick, Prayag Tiwari, Khan Muhammad, Hongyin Zhu,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.103009.,ScienceDirect
"Reliable sleep staging of unseen subjects with fusion of multiple EEG features and RUSBoost,","Ritika Jain, Ramakrishnan Angarai Ganesan,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.103061.,ScienceDirect
"Classification of inter-ictal and ictal EEGs using multi-basis MODWPT, dimensionality reduction algorithms and LS-SVM: A comparative study,","Tao Zhang, Wanzhong Chen, Mingyang Li,","Biomedical Signal Processing and Control,","2019,",https://doi.org/10.1016/j.bspc.2018.08.038.,ScienceDirect
"Classification of the interictal state with hypsarrhythmia from Zika Virus Congenital Syndrome and of the ictal state from epilepsy in childhood without hypsarrhythmia in EEGs using entropy measures,","Priscila L. Rocha, Allan K. Barros, Washington S. Silva, Gean C. Sousa, Patrícia Sousa, Antônio M. da Silva,","Computers in Biology and Medicine,","2020,",https://doi.org/10.1016/j.compbiomed.2020.104014.,ScienceDirect
"Diagnosis of mild Alzheimer's disease by EEG and ERP signals using linear and nonlinear classifiers,","Elias Mazrooei Rad, Mahdi Azarnoosh, Majid Ghoshuni, Mohammad Mahdi Khalilzadeh,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.103049.,ScienceDirect
"An overview of artificial intelligence techniques for diagnosis of Schizophrenia based on magnetic resonance imaging modalities: Methods, challenges, and future works,","Delaram Sadeghi, Afshin Shoeibi, Navid Ghassemi, Parisa Moridian, Ali Khadem, Roohallah Alizadehsani, Mohammad Teshnehlab, Juan M. Gorriz, Fahime Khozeimeh, Yu-Dong Zhang, Saeid Nahavandi, U Rajendra Acharya,","Computers in Biology and Medicine,","2022,",https://doi.org/10.1016/j.compbiomed.2022.105554.,ScienceDirect
"Autoencoding of long-term scalp electroencephalogram to detect epileptic seizure for diagnosis support system,","Ali Emami, Naoto Kunii, Takeshi Matsuo, Takashi Shinozaki, Kensuke Kawai, Hirokazu Takahashi,","Computers in Biology and Medicine,","2019,",https://doi.org/10.1016/j.compbiomed.2019.05.025.,ScienceDirect
"Automated EEG pathology detection based on different convolutional neural network models: Deep learning approach,","Rishabh Bajpai, Rajamanickam Yuvaraj, A. Amalin Prince,","Computers in Biology and Medicine,","2021,",https://doi.org/10.1016/j.compbiomed.2021.104434.,ScienceDirect
"Automated detection of abnormalities from an EEG recording of epilepsy patients with a compact convolutional neural network,","Taku Shoji, Noboru Yoshida, Toshihisa Tanaka,","Biomedical Signal Processing and Control,","2021,",https://doi.org/10.1016/j.bspc.2021.103013.,ScienceDirect
"Spatio-temporal evaluation of epileptic intracranial EEG based on entropy and synchronization: A phase transition idea,","Lisha Zhong, Shuling He, Fangji Yi, Xi Li, Linran Wei, Chen Zeng, Zhiwei Huang, Zhangyong Li,","Biomedical Signal Processing and Control,","2022,",https://doi.org/10.1016/j.bspc.2022.103689.,ScienceDirect
